Category,File,Shape,Bytes,column_major_mtf_huffman,row_major_mtf_huffman,snakelike_row_major_mtf_huffman,spiral_outer_mtf_huffman,hilbertcurve_mtf_huffman
classic,[2]mandrill.ppm,(3x 512x 512),786432,2.6,2.5,2.5,2.5,6.3
classic,[1]peppers.ppm,(3x 512x 512),786432,2.3,2.2,2.2,2.4,6
classic,[3]barbara.ppm,(3x 640x 512),983040,3.1,3,3,3.1,8.2
classic,[0]lena.ppm,(3x 512x 512),786432,2.4,2.1,2.2,2.2,6
digital_cam,locks.ppm,(3x 4288x 2848),36636672,88,92,101.8,112.6,400.8
digital_cam,fireworks.ppm,(3x 3024x 4032),36578304,82.5,84.1,83.4,89.3,365.8
digital_cam,sunset.ppm,(3x 4288x 2848),36636672,71.5,79.6,76.9,79.8,340.3
digital_cam,flower.ppm,(3x 4032x 3024),36578304,99.7,102.8,96.8,101.9,327.6
digital_cam,park.ppm,(3x 4032x 3024),36578304,75.3,78.7,77.7,78.5,321
digital_cam,flamingo.ppm,(3x 2848x 4288),36636672,71.9,74.8,72.8,80.3,342.9
digital_cam,ceiling.ppm,(3x 4288x 2848),36636672,89.7,91.5,91.5,93.3,352
digital_cam,berry.ppm,(3x 2848x 4288),36636672,104.7,108,107.1,114.5,352.7
kodak,kodak08.ppm,(3x 768x 512),1179648,3.8,3.7,3.6,4.1,9.9
kodak,kodak03.ppm,(3x 768x 512),1179648,2.7,2.8,2.7,3,9
kodak,kodak13.ppm,(3x 768x 512),1179648,3.5,3.8,3.7,4,9.9
kodak,kodak01.ppm,(3x 768x 512),1179648,3.2,3.5,3.3,3.5,9.6
kodak,kodak02.ppm,(3x 768x 512),1179648,2.6,2.7,2.6,2.8,9.1
kodak,kodak07.ppm,(3x 768x 512),1179648,2.9,3,2.9,3.3,9.2
kodak,kodak06.ppm,(3x 768x 512),1179648,2.9,3.5,3.2,3.4,9.4
kodak,kodak22.ppm,(3x 768x 512),1179648,3,3.1,3,3.3,9.3
kodak,kodak15.ppm,(3x 768x 512),1179648,3.1,2.9,2.7,3.2,9.2
kodak,kodak12.ppm,(3x 768x 512),1179648,2.7,2.8,2.7,3.1,9.1
kodak,kodak16.ppm,(3x 768x 512),1179648,2.6,3.2,3,3.2,9.3
kodak,kodak04.ppm,(3x 768x 512),1179648,3,3.2,3,3.3,9.4
kodak,kodak21.ppm,(3x 768x 512),1179648,2.9,3.2,3.2,3.3,9.4
kodak,kodak10.ppm,(3x 768x 512),1179648,3,2.9,2.8,3.1,9.1
kodak,kodak18.ppm,(3x 768x 512),1179648,3.3,3.2,3.2,3.5,9.6
kodak,kodak11.ppm,(3x 768x 512),1179648,2.9,3.1,3.1,3.3,9.5
kodak,kodak05.ppm,(3x 768x 512),1179648,3.6,3.7,3.7,4.1,9.9
kodak,kodak23.ppm,(3x 768x 512),1179648,3.1,2.9,2.8,3.5,9.1
kodak,kodak20.ppm,(3x 768x 512),1179648,2.6,3.1,2.9,3.1,9.1
kodak,kodak24.ppm,(3x 768x 512),1179648,3.1,3.2,3.1,3.4,9.4
kodak,kodak14.ppm,(3x 768x 512),1179648,3.4,3.6,3.5,3.6,9.5
kodak,kodak09.ppm,(3x 768x 512),1179648,3,2.8,2.7,3.1,9.1
kodak,kodak17.ppm,(3x 768x 512),1179648,3.2,3,3,3.4,9.2
kodak,kodak19.ppm,(3x 768x 512),1179648,3.2,3,3,3.4,9.3
medical,[0]pet2.ppm,(3x 256x 256),196608,0.4,0.3,0.4,0.4,1.2
medical,[1]eye2.ppm,(3x 3216x 2136),20608128,41.4,41,40.1,43.5,176.5
medical,endoscope1.ppm,(3x 603x 552),998568,2.1,2,2,2,7.6
medical,[1]eye1.ppm,(3x 3216x 2136),20608128,41.4,41,40.3,43.8,177.2
medical,[0]pet1.ppm,(3x 256x 256),196608,0.3,0.3,0.3,0.3,1.2
medical,[0]pet3.ppm,(3x 256x 256),196608,0.4,0.3,0.3,0.3,1.2
medical,endoscope2.ppm,(3x 568x 506),862224,1.8,1.9,1.8,1.8,6.5
medical,[2]eyeground.ppm,(3x 1600x 1216),5836800,10.9,11,10.8,11.3,46.4
